"Record","Station","Year","Lat","Lon","LonUTMAlbers","LatUTMAlbers","BottomDepth","BottomTemp","Actinaugeverrilli","Actiniaria","Albatrossiapectoralis","Allocentrotusfragilis","Anoplopomafimbria","Aphrocallistesvastus","Atheresthesstomias","Bathymastersignatus","Bathyplotessp.","Bathyrajaaleutica","Bathyrajainterrupta","Berryteuthismagister","Chionoecetesbairdi","Chlamysrubida","Chlamyssp.","Chrysaoramelanaster","Crossasterpapposus","Ctenodiscuscrispatus","Cyaneacapillata","Dasycottussetiger","Elassochirustenuimanus","Fusitritonoregonensis","Gadusmacrocephalus","Glyptocephaluszachirus","Gorgonocephaluseucnemis","Hemilepidotusjordani","Hemitripterusbolini","Henriciasp.","Hippoglossoideselassodon","Hippoglossusstenolepis","Hyaslyratus","Hydrolaguscolliei","Isopsettaisolepis","Lepidopsettabilineata","Lepidopsettapolyxystra","Lepidopsettasp.","Lethasteriasnanimensis","Lycodesbrevipes","Lycodespalearis","Lyopsettaexilis","Malacocottuszonurus","Mallotusvillosus","Metridiumfarcimen..Metridiumgiganteum.","Microstomuspacificus","Myoxocephaluspolyacanthocephalus","Ophiodonelongatus","Ophiurasarsi","Oregoniagracilis","Paguridae","Pagurusaleuticus","Pagurusbrandti","Pandalopsisdispar","Pandaluseous..borealis.","Pandalusjordani","Parophrysvetulus","Platichthysstellatus","Pleurogrammusmonopterygius","Porifera","Pycnopodiahelianthoides","Rajabinoculata","Rajarhina","Scyphozoa","Sebastesalutus","Sebastesbabcocki","Sebastesborealis","Sebastesbrevispinis","Sebastespolyspinis","Sebastesvariabilis","Sebastesvariegatus","Sebasteszacentrus","Sebastolobusalascanus","Squalusacanthias","Stegophiuraponderosa","Strongylocentrotusdroebachiensis","Thaleichthyspacificus","Thaliacea","Theragrachalcogramma","Zaprorasilenus"
3215,"322-165",1999,59.51597,-143.3611,373963.025206587,6091150.3584244,554,4.2,NA,0.005,140.13835,NA,119.51135,NA,12.9724,NA,NA,NA,NA,0.47995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3341,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.52365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0626,2.174,NA,2.98525,NA,NA,NA,NA,NA,14.9133,NA,NA,NA,NA,0.0042,NA,NA
3216,"209-165",1999,59.52013,-152.7694,-156177.917472576,6076751.03023268,57,7.4,NA,NA,NA,NA,NA,NA,12.8973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4086,NA,NA,NA,NA,NA,NA,10.7256,NA,NA,2.2831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3266,NA,NA,NA,NA,NA,NA,NA,0.0056,NA,NA,8.1309,NA,NA,NA,12.2565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1323,NA,NA,0.0689,NA,1.2993,NA
3217,"290-168",1999,59.66338,-146.0378,222463.379496333,6096017.70426187,88,6.8,NA,NA,NA,NA,NA,NA,1.2384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4114,0.0017,NA,NA,NA,0.1012,34.114,0.0426,NA,NA,0.4582,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9516,0.1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8411,NA,NA,NA,NA,0.0334,NA
3218,"357-168",1999,59.665,-140.5492,529238.209933691,6126099.84052599,49,8.1,NA,NA,NA,NA,NA,NA,12.2274,NA,NA,NA,NA,NA,NA,NA,NA,0.1738,NA,0.0017,NA,NA,NA,NA,10.6116,5.5897,NA,NA,NA,NA,2.9512,2.4136,NA,NA,6.2438,NA,0.7267,NA,NA,NA,NA,NA,NA,0.0288,NA,0.8804,NA,7.2054,NA,NA,NA,NA,NA,NA,NA,NA,1.7835,32.0096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.677,NA,NA,NA,0.6393,0.4734,NA
3219,"254-155",1999,59.04982,-148.9971,57334.8768138435,6021448.43308116,159,5.6,NA,NA,NA,0.7482,2.3312,1.4631,6.7095,0.1058,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,NA,NA,NA,NA,NA,1.1841,19.9331,0.1821,NA,NA,NA,0.1251,NA,0.0133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5397,NA,NA,NA,NA,0.0355,NA,NA,NA,0.3501,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4413,NA,NA,NA,NA,NA,NA,0.091,NA,5.9206,NA,5.9206,NA,NA,NA,NA
3220,"244-155",1999,59.05634,-149.8678,7556.61811167017,6021768.25073231,215,5.5,NA,NA,NA,NA,5.2845,NA,42.462,NA,NA,NA,1.2526,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,1.5265,0.0796,NA,NA,NA,1.7037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8897,NA,NA,NA,NA,NA,0.0729,NA,0.7182,0.39,NA,NA,NA,NA,NA,NA,NA,7.6469,NA,0.7577,NA,NA,NA,NA,NA,NA,NA,7.1303,1.2355,NA,NA,0.3684,NA,7.6737,NA
3221,"352-155",1999,59.0676,-140.9006,518455.884461204,6057242.93281019,178,6,NA,NA,NA,0.2614,2.4069,0.9228,15.4782,0.1385,NA,NA,NA,NA,NA,NA,NA,NA,0.0185,0.0044,NA,NA,NA,NA,NA,1.9255,NA,NA,NA,NA,0.0807,17.4974,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1644,0.0126,NA,NA,0.2192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,7.5539,0.12,NA,1.4071,NA,NA,NA,0.5821,NA,NA,NA,0.3481,0.0467,NA,2.4439,NA
3222,"357-165",1999,59.52677,-140.5353,532123.882043761,6110899.29038938,246,5.5,NA,NA,NA,0.0479,11.3552,NA,24.9107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0668,0.0982,NA,NA,0.0173,NA,5.933,NA,NA,NA,NA,0.3324,3.8631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0039,NA,17.9562,NA,NA,NA,NA,NA,NA,NA,0.1414,NA,NA,NA,NA,NA,NA,NA,NA,1.0876,NA,2.6718,0.4715,15.0792,NA,NA,NA,NA,NA,8.0154,NA,NA,NA,0.1179,0.158,8.9584,NA
3223,"288-165",1999,59.53712,-146.2242,212780.06308074,6081338.07043442,96,6.2,NA,NA,NA,NA,NA,1.7342,62.6539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6962,0.0358,NA,NA,NA,NA,4.1883,NA,NA,NA,0.5314,NA,NA,0.0077,NA,NA,NA,NA,NA,NA,0.9119,NA,1.532,0.0034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5728,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1203,1.4928,NA,0.0222,NA,NA,1.0535,NA
3224,"278-167",1999,59.6233,-147.0534,165672.882330971,6088687.49881625,205,5.9,NA,NA,NA,NA,2.656,NA,10.9536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0445,NA,NA,NA,NA,NA,0.3047,0.1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1795,0.0972,NA,NA,NA,NA,4.2826,NA,NA,NA,NA,NA,NA,NA,1.0698,0.0379,NA,NA,NA,NA,NA,NA,NA,5.5015,2.7631,NA,NA,NA,NA,NA,NA,NA,NA,5.4043,1.027,NA,NA,0.0502,NA,0.691,0.0091
3225,"251-167",1999,59.62997,-149.2469,42347.0116721828,6086127.40242955,209,5.5,NA,NA,NA,NA,1.4801,NA,18.93,NA,NA,NA,0.9179,0.3325,NA,NA,NA,NA,NA,0.3163,NA,NA,NA,NA,NA,4.6784,NA,NA,0.0023,NA,21.4973,NA,NA,NA,NA,NA,NA,NA,NA,0.0224,NA,NA,NA,NA,NA,4.2376,NA,NA,NA,NA,NA,NA,NA,0.0827,0.6387,NA,NA,NA,NA,NA,NA,NA,4.5392,NA,0.6225,NA,NA,NA,NA,NA,NA,NA,1.2983,NA,NA,NA,0.4361,NA,7.8488,NA
3226,"267-155",1999,59.07474,-147.9509,117049.376451281,6025556.1118378,160,5.8,NA,NA,NA,0.0059,2.9375,0.2174,90.18,0.4671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0338,111.697,2.4601,NA,NA,NA,NA,NA,13.4833,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-04,NA,NA,NA,NA,0.1219,NA,NA,3.7453,NA,0.2893,NA,NA,NA,NA,NA,0.2886,0.0521,NA,1.432,NA,NA,NA,NA,NA,NA
3227,"217-155",1999,59.07572,-152.0403,-116543.60780017,6025650.76225496,191,6.5,NA,0.0347,NA,NA,NA,NA,13.4464,NA,NA,NA,NA,NA,NA,NA,0.1638,NA,0.1345,NA,NA,NA,NA,NA,11.2201,NA,0.0695,NA,NA,NA,NA,5.7468,NA,NA,NA,NA,NA,NA,0.0899,NA,NA,NA,0.0187,0.0062,NA,1.2226,NA,NA,NA,0.0107,NA,NA,0.0062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0614,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6011,NA,5.8981,NA,NA,2.252,NA
3228,"271-161",1999,59.32069,-147.5738,137615.568935533,6053738.82148283,126,5.7,NA,NA,NA,NA,NA,0.3212,3.5937,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,0.7755,1.3035,0.0781,NA,NA,NA,NA,NA,0.0053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.033,NA,NA,NA,1.2671,NA,0.6415,0.4437,NA,1.1358,0.0106,0.173,NA,NA,0.0435,NA
3229,"329-165",1999,59.54202,-142.8142,404359.657488612,6097131.38142751,731,3.8,NA,NA,50.1311,NA,55.0475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0728,NA,NA,NA,NA,NA,NA,NA,NA,10.1811,NA,NA,NA,NA,NA,NA,NA
3230,"312-165",1999,59.54523,-144.2142,325755.767684156,6090084.17328934,715,3.8,NA,0.0047,56.7232,NA,45.5383,NA,NA,NA,NA,NA,NA,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103,NA,NA,NA,NA,NA,NA,NA,NA,14.4275,NA,NA,NA,NA,NA,NA,NA
3231,"258-165",1999,59.54893,-148.7062,72917.6931393983,6077520.56561746,96,6,NA,NA,NA,NA,NA,NA,4.9778,0.5851,NA,NA,NA,NA,0.014,NA,NA,NA,0.0107,0.0296,NA,NA,NA,NA,NA,0.1602,NA,NA,NA,NA,NA,4.3931,NA,NA,NA,1.5474,NA,NA,NA,0.0173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0238,NA,NA,NA,NA,NA,NA,NA,NA,2.3182,0.069,0.2827,NA,NA,NA,NA,NA,NA,NA,0.0419,3.1596,NA,0.1241,0.0049,NA,0.0099,NA
3232,"208-168",1999,59.65437,-152.8481,-159994.642999092,6091925.16519891,37,7.6,NA,NA,NA,NA,NA,NA,0.0319,NA,NA,NA,0.696,NA,NA,NA,NA,NA,0.0951,NA,NA,NA,0.0183,1.1212,0.931,NA,NA,NA,NA,NA,NA,35.9103,0.1308,NA,NA,0.1072,0.4769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5701,NA,NA,0.016,NA
3233,"358-168",1999,59.65753,-140.429,536041.816125448,6126200.28439853,40,8.1,NA,NA,NA,NA,NA,NA,23.7191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4382,0.578,NA,NA,NA,NA,0.3621,1.8618,NA,NA,0.4343,NA,NA,NA,NA,NA,NA,NA,NA,0.1192,NA,NA,NA,3.6123,NA,NA,NA,NA,NA,NA,NA,NA,10.0099,9.7053,NA,NA,NA,NA,8.4431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,NA,NA,0.0244,NA,0.3804,NA
3234,"203-155",1999,59.0771,-153.2324,-184589.515771848,6028405.39038732,75,6.6,NA,NA,NA,NA,3.4749,NA,157.9787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0052,NA,NA,NA,NA,0.6211,0.3379,0.1564,NA,NA,NA,9.0348,12.8012,NA,NA,8.9479,5.6468,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4135,NA,NA,NA,NA,NA,NA,NA,NA,18.6777,NA,0.0339,NA,NA,NA,NA
3235,"236-155",1999,59.0807,-150.4803,-27435.0286439685,6024580.53996614,113,5.6,NA,NA,NA,NA,NA,1.1908,6.1911,0.0557,0.187,NA,NA,NA,NA,NA,NA,NA,0.2443,NA,NA,NA,NA,NA,NA,NA,0.332,NA,NA,NA,0.2011,15.3738,NA,NA,NA,0.5568,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9473,NA,6.0373,NA,NA,0.0166,NA
3236,"203-156",1999,59.08464,-153.2299,-184407.415461302,6029240.94451521,75,6.6,NA,NA,NA,NA,NA,NA,167.6417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128,NA,0.3794,0.0687,NA,NA,NA,8.0267,24.0557,NA,NA,8.5857,4.0333,NA,NA,NA,0.0192,NA,NA,NA,0.024,NA,NA,NA,NA,NA,NA,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2847,NA,NA,0.016,NA,NA,NA
3237,"267-156",1999,59.0847,-147.9488,117136.205284025,6026672.96007772,172,5.9,NA,NA,NA,NA,21.4967,0.5576,35.9904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2168,23.2253,NA,NA,NA,NA,NA,26.3,0.0762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0858,NA,2.1718,NA,NA,NA,NA,NA,NA,0.0106,NA,NA,NA,NA,0.0257,NA,NA,5.0972,NA,3.2356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115,NA,NA,NA
3238,"212-161",1999,59.32643,-152.5228,-143068.936573142,6054576.59517809,69,6.9,NA,NA,NA,NA,NA,NA,0.4978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8252,NA,NA,NA,NA,NA,NA,17.5238,NA,NA,0.2185,2.0118,2.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2347,NA,NA,NA,0.0316,0.0158,NA
3239,"216-168",1999,59.69157,-152.1453,-120399.78612232,6094653.23972074,40,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0111,1.9013,NA,NA,NA,NA,NA,NA,NA,2.4802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258,NA,NA,NA,NA,NA,NA,NA,0.9465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1042,NA,NA,NA,NA
3240,"258-168",1999,59.69902,-148.7007,72911.8372904385,6094301.0779385,187,5.5,NA,NA,NA,NA,0.35,NA,15.8023,NA,NA,NA,NA,NA,0.0375,NA,NA,NA,NA,0.691,NA,0.0073,NA,NA,NA,0.204,NA,NA,NA,NA,0.0865,NA,NA,NA,NA,NA,NA,NA,NA,0.0269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0277,NA,1.3421,1.4726,NA,NA,NA,NA,NA,NA,NA,9.3693,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0936,3.6061,NA,NA,0.0693,NA,1.4914,NA
3241,"274-168",1999,59.70649,-147.3882,146506.505129594,6097221.9083713,118,5.9,NA,NA,NA,NA,NA,0.0041,37.4157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3432,NA,NA,NA,NA,NA,1.1322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2009,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,0.0065,NA,NA,3.9286,0.1676,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6216,NA,NA,0.6613,NA,2.4198,NA
3242,"336-175",1999,60.00272,-142.2565,429851.087691141,6151693.63873996,53,8.8,NA,NA,NA,NA,0.7989,NA,17.8678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4728,6.9411,NA,NA,NA,NA,1.768,1.2879,NA,NA,6.9859,NA,NA,NA,NA,0.0152,0.1191,NA,NA,0.0116,NA,2.969,NA,1.5181,NA,NA,NA,NA,NA,NA,NA,NA,10.3893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8052,NA,NA,0.0985,0.3806,10.2988,NA
3243,"367-168",1999,59.7085,-139.6509,578455.126548437,6138120.26828801,185,4.8,NA,NA,NA,NA,0.2925,NA,75.7605,NA,NA,NA,NA,NA,0.2475,NA,NA,NA,NA,0.185,NA,NA,NA,NA,9.7784,6.7392,0.0432,NA,NA,NA,7.7522,6.4903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0044,NA,1.8323,NA,9.0736,NA,NA,NA,NA,NA,1.9081,0.1568,NA,NA,NA,NA,NA,0.2149,4.4928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0978,NA,26.384,NA
3244,"305-169",1999,59.71078,-144.8411,289147.580621132,6105739.67553666,93,6.8,NA,NA,NA,NA,2.6684,NA,27.9418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4511,6.671,NA,NA,NA,NA,3.3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0459,NA,15.0954,NA,NA,NA,NA,NA,NA,0.0015,NA,70.331,NA,NA,NA,NA,NA,NA,0.5596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122,NA,0.215,NA
3245,"255-169",1999,59.7142,-148.9066,61331.683223128,6095797.37409334,182,5.6,NA,NA,NA,NA,0.9288,NA,39.9369,NA,NA,NA,0.6649,NA,0.011,NA,NA,NA,NA,0.4297,NA,0.0102,NA,NA,NA,0.2259,NA,NA,NA,NA,3.5699,NA,NA,NA,NA,NA,NA,NA,NA,0.0347,0.1117,NA,NA,NA,NA,1.417,NA,NA,NA,NA,NA,NA,NA,0.3451,0.8806,NA,NA,NA,NA,NA,NA,NA,NA,0.0372,NA,NA,NA,NA,NA,NA,NA,NA,0.1193,1.4373,NA,NA,1.6344,NA,2.8952,NA
3246,"330-169",1999,59.71721,-142.7459,406134.65554683,6117008.6928338,218,5.8,NA,NA,NA,0.095,2.9883,NA,17.0485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161,NA,NA,NA,NA,NA,0.0023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0169,NA,0.0337,NA,NA,NA,3.8694,NA,3.1032,0.0123,NA,NA,NA,NA,0.2789,NA,0.0061,NA,NA,NA,NA,NA,NA,3.9844,NA,12.7193,0.4482,NA,NA,NA,1.0934,NA,NA,6.1298,NA,NA,NA,0.1004,0.0092,0.498,NA
3247,"346-175",1999,60.00668,-141.3727,478614.179123007,6157949.12413141,103,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5605,NA,NA,NA,NA,NA,NA,0.4532,NA,NA,NA,NA,NA,NA,NA,NA,0.0747,NA,NA,NA,0.2928,NA,NA,NA,NA,NA,NA,NA,NA,0.0311,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6982,19.4721,NA,NA,NA,NA,NA,0.5746,35.3501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1059,NA,NA,NA,NA,1.1524,NA
3248,"290-169",1999,59.71947,-146.0501,221414.956923457,6102237.49439185,75,7,NA,NA,NA,NA,NA,NA,NA,0.0381,0.0105,NA,NA,NA,NA,0.0135,NA,NA,0.195,NA,NA,NA,0.0135,0.0732,NA,NA,0.6322,NA,NA,NA,NA,4.8495,NA,NA,NA,2.197,NA,NA,NA,NA,NA,NA,NA,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9369,NA,0.0523,NA,NA,NA,NA
3249,"288-169",1999,59.72038,-146.2147,212192.043324845,6101822.0545835,78,6.9,NA,0.0101,NA,NA,NA,NA,0.5217,0.0589,0.1069,NA,NA,NA,NA,NA,NA,NA,0.1615,NA,NA,NA,NA,NA,NA,0.0715,0.0766,NA,NA,NA,NA,16.742,0.053,NA,NA,5.9737,NA,NA,0.0446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3489,NA,NA,NA,NA,NA,NA
3250,"228-169",1999,59.72401,-151.129,-63310.4714573395,6096925.89280722,44,5.1,NA,NA,NA,NA,0.1365,NA,0.9452,NA,NA,NA,NA,NA,1.1647,NA,NA,NA,NA,NA,NA,0.0675,NA,NA,26.9896,0.0309,NA,NA,NA,NA,2.1538,15.4803,0.0146,NA,0.1187,NA,2.1131,NA,NA,0.0935,NA,NA,NA,0.0057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4093,NA,NA,3.8605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5299,NA,19.6619,NA
3251,"250-169",1999,59.73574,-149.3298,37570.8866352306,6097901.63325195,226,5.4,NA,NA,NA,NA,5.6307,NA,19.2309,NA,NA,NA,1.1071,NA,0.0139,NA,NA,NA,NA,0.2911,NA,NA,NA,0.0217,NA,4.4591,NA,NA,NA,NA,6.1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1707,NA,NA,NA,NA,2.4619,NA,NA,NA,NA,NA,0.0087,NA,0.8758,0.227,NA,NA,NA,NA,NA,NA,NA,5.1542,0.0355,NA,NA,NA,NA,NA,NA,NA,NA,2.3701,NA,NA,NA,0.2088,NA,7.7963,NA
3252,"251-169",1999,59.74182,-149.2679,41033.6197946629,6098616.42803258,227,5.5,NA,NA,NA,NA,8.9219,NA,11.2511,NA,NA,NA,NA,0.0253,0.0071,NA,NA,NA,NA,0.0979,NA,NA,NA,NA,NA,1.1551,NA,NA,NA,NA,0.7445,NA,NA,NA,NA,NA,NA,NA,NA,0.0403,NA,NA,NA,NA,NA,0.1303,NA,NA,NA,NA,NA,NA,0.0024,0.3482,0.6774,NA,NA,NA,NA,NA,NA,NA,4.6583,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2574,NA,NA,NA,0.6387,NA,19.9014,NA
3253,"301-175",1999,60.01268,-145.1243,270920.525058948,6138242.66185857,119,6.1,NA,NA,NA,NA,0.2712,NA,22.4132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0458,NA,0.5399,NA,NA,NA,1.6002,NA,NA,NA,NA,10.1278,NA,NA,NA,NA,NA,NA,NA,NA,0.0502,0.3628,NA,NA,0.0062,NA,2.2131,NA,NA,NA,NA,NA,NA,NA,0.0167,0.2695,NA,NA,NA,NA,NA,NA,NA,NA,1.1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6733,NA,NA,0.3373,NA,0.524,NA
3254,"286-170",1999,59.75646,-146.3445,204709.314914866,6105457.01489682,79,7.1,NA,NA,NA,NA,NA,NA,NA,0.0891,0.0908,NA,NA,NA,NA,NA,NA,NA,0.263,NA,NA,NA,NA,0.0713,NA,0.0356,NA,NA,NA,NA,NA,14.4688,0.0085,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,0.1179,NA,NA,NA,2.5878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6574,NA,0.0916,NA,NA,NA,NA
3255,"345-170",1999,59.76499,-141.5025,474766.866264103,6130249.0633948,44,7.6,NA,NA,NA,NA,NA,NA,4.1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3769,0.5368,NA,NA,NA,NA,NA,NA,NA,NA,0.9026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,26.8405,NA,NA,NA,NA,NA,0.3023,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3785,NA,NA,0.1551,NA,0.7307,NA
3256,"265-170",1999,59.76687,-148.1242,105050.042053143,6102626.19837214,77,6.6,NA,NA,NA,NA,NA,NA,7.3668,NA,NA,NA,NA,NA,NA,0.0406,NA,NA,NA,NA,NA,NA,NA,NA,2.267,NA,NA,NA,NA,NA,NA,1.7142,NA,NA,NA,21.1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0269,NA,0.0467,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5007,NA,NA,NA,NA,NA,NA
